datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-11-07,1383288.4640588283,-0.03105819059076467,13840234.509181976,0.29097411106337767,20760.351763772964,0.000436461166595067,1367873.3215332031,15415.142525625153,0.0027776957
2025-11-10,1464529.9259770869,0.05928145796356922,14348164.519405365,0.36719023068624934,21522.246779108045,0.0005507853460293729,1449806.6886901855,14723.237286901422,0.03185594
2025-11-11,1478243.3896153928,0.009791854289859188,14766164.519405365,0.2854158133512526,22149.246779108045,0.00042812372002687887,1354147.1523284912,124096.23728690145,-0.009395957
2025-11-12,1471884.8329524517,-0.003785528437074049,15274580.702495575,0.34393266133426714,22911.87105374336,0.0005158989920014017,1456015.0104522705,15869.822500181152,0.0
2025-11-13,1459140.2726863383,-0.00834645481834341,15580940.709209442,0.20814128921985023,23371.41106381416,0.00031221193382977437,1451089.9969100952,8050.275776243157,0.009485006
2025-11-14,1420926.9297067164,-0.025881668934047346,15879845.718288422,0.20485008513176245,23819.76857743263,0.0003072751276976442,1411710.007095337,9216.92261137956,0.00402689
2025-11-17,1463831.223639822,0.0308002916955042,16453625.704860687,0.4038068211506805,24680.43855729103,0.0006057102317260203,1446694.9844360352,17136.239203786827,0.0066845417
2025-11-18,1437110.3696965694,-0.017734265404838166,16960880.715084076,0.34652561171778884,25441.321072626113,0.0005197884175766843,1423480.002784729,13630.366911840392,-0.013280213
2025-11-19,1401378.9109630107,-0.02426745501858735,17531845.701885223,0.3973007215317086,26297.768552827834,0.0005959510822975628,1369640.0047302246,31738.906232786132,0.010767102
2025-11-20,1400468.8962382793,-0.0006493709285992424,17531845.701885223,0.0,26297.768552827834,0.0,1368729.9900054932,31738.906232786132,0.0026631355
2025-11-21,1293179.9071483135,-0.07605666171956388,18047845.701885223,0.36844802579050384,27071.768552827834,0.0005526720386857558,1270215.0009155273,22964.906232786132,-0.0066400766
2025-11-24,1307984.3538676738,0.012345534160491174,18821545.701885223,0.5982926240372409,28232.318552827837,0.0008974389360558635,1287679.9976348877,20304.356232786085,0.025400996
2025-11-25,1331537.6167499064,0.018276222359227993,19056045.709514618,0.17928349596536416,28584.06856427193,0.0002689252439480462,1077085.00289917,254452.61385073652,-0.013037801
2025-11-26,1332694.3453990459,0.0014269057169656908,19551545.701885223,0.37212616912772645,29327.318552827837,0.0005581892536915896,1063484.9891662598,269209.3562327861,0.0026420355
2025-11-27,1383719.243732786,0.038636024090222015,19861620.701885223,0.23266775391558736,29792.431052827837,0.0003490016308733805,1156900.0,226819.2437327861,0.023715377
2025-11-28,1448074.9859508036,0.047018202943039725,20331120.701885223,0.33930293455589644,30496.681052827837,0.0005089544018338447,1200059.9922180176,248014.9937327861,-0.0012869835
2025-12-01,1426305.0637423992,-0.014198154389441223,21137740.695476532,0.5570291603798979,31706.611043214798,0.0008355437405698459,1396119.9935913086,30185.070151090506,0.0051546097
2025-12-02,1452978.3109958172,0.01912634116423843,21542240.695476532,0.283599918616748,32313.361043214798,0.000425399877925122,1315899.9908447266,137078.3201510905,-0.0025640726
2025-12-03,1484898.3228976727,0.021968677481481937,21542240.695476532,0.0,32313.361043214798,0.0,1347820.002746582,137078.3201510905,0.0012853146
2025-12-04,1456058.326559782,-0.019422202781946334,21542240.695476532,0.0,32313.361043214798,0.0,1318980.0064086914,137078.3201510905,-0.005134821
2025-12-05,1458180.380991125,0.00186804634568558,21940860.698604584,0.2737665077400218,32911.291047906874,0.0004106497616100317,1441319.9939727783,16860.387018346664,-0.011612952
2025-12-08,1504185.9047397135,0.032067358986213816,22443840.695476532,0.3449367468036244,33665.7610432148,0.0005174051202054386,1484299.9908447266,19885.913894986996,0.0013054609
2025-12-09,1561973.4919223308,0.03891805327929005,22945440.695476532,0.3334694191851223,34418.1610432148,0.0005002041287776844,1534039.9780273438,27933.51389498703,-0.0026075244
2025-12-10,1523861.7080760477,-0.02389282790627909,23473320.701885223,0.3379570838676821,35209.98105282784,0.000506935625801524,1508840.0077819824,15021.700294065406,0.011764765
2025-12-11,1541860.6861155985,0.012186138965980307,23853995.701885223,0.24980941379557428,35780.993552827844,0.00037471412069336427,1529684.9983215332,12175.687794065423,-0.012919903
2025-12-12,1596302.4634944438,0.03571657146118873,24272795.701885223,0.27161987057020087,36409.19355282784,0.00040742980585529943,1486954.9757003784,109347.48779406538,-0.013089001
2025-12-15,1581265.2212764262,-0.009042767613362028,24674295.701885223,0.2515187498496255,37011.44355282784,0.0003772781247744383,1553019.9834823608,28245.237794065382,0.015915036
