symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy
6120,,,,,2,1,0,477040,36000,-74129,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6128,,,,,0,0,1,-5000,0,1000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6133,,,,,1,0,1,68000,0,21000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6136,,,,,6,0,1,16000,0,20000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6139,,,,,0,2,2,-586207,108000,82727,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6141,,,,,0,0,1,-56000,0,14000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6142,,,,,0,0,1,-41000,0,2000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6152,,,,,2,0,0,56000,0,0,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6153,,,,,0,0,1,-935844,0,14000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6155,,,,,1,0,1,304000,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6164,,,,,0,0,0,-81000,0,0,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6165,,,,,0,0,1,-5654000,0,5000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6166,,,,,0,0,1,-4044784,0,264707,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6168,,,,,0,0,1,-55000,0,20000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6176,,,,,0,1,0,-3051361,2000,-194436,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6177,,,,,0,0,0,-1019025,0,-112191,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6183,,,,,7,0,1,5000,0,2000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6184,,,,,5,0,1,20895,0,1000,2026-07-31,TWSE T86 official,official-only,,,40.0,40.0
6189,,,,,2,0,0,593019,0,-8669,2026-07-31,TWSE T86 official,official-only,,,40.1,40.1
6191,,,,,0,3,1,-452020,4000,58829,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
6192,,,,,0,0,0,-32200,0,-3000,2026-07-31,TWSE T86 official,official-only,,,0.0,0.0
