symbol,top10_main_force_buy_strength,top10_main_force_net_buy,top10_main_force_buy_rank,branch_main_force_buy_streak_days,foreign_buy_streak_days,investment_trust_buy_streak_days,dealer_buy_streak_days,foreign_net_buy,investment_trust_net_buy,dealer_net_buy,chip_data_date,chip_data_source,chip_data_source_status,top10_main_force_brokers,branch_main_force_leader,top10_main_force_buy_strength_proxy,institutional_main_force_strength_proxy,official_broker_net_buy
6890,,,,,2,0,2,193242,0,491,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6901,,,,,0,0,0,-313000,0,-9000,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6902,,,,,2,0,0,6929,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6906,,,,,4,0,1,40000,0,50,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6908,,,,,3,0,0,2000,0,-1046,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6909,,,,,6,0,0,7000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6914,,,,,1,0,0,54419,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6916,,,,,0,0,0,-12000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6918,,,,,2,0,0,42000,0,-1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6919,,,,,0,0,0,-2347553,0,-15371,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6921,,,,,2,0,0,4000,0,-1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6923,,,,,2,0,0,50000,0,-7000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6924,,,,,1,0,0,13000,0,-3882,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6928,,,,,2,0,1,13000,0,1000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6931,,,,,2,0,0,16000,0,-6000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6933,,,,,0,0,4,-46300,0,33750,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6934,,,,,0,0,0,-1000,0,0,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6936,,,,,2,0,0,2000,0,-3000,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6937,,,,,2,0,2,69513,0,28823,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6944,,,,,0,0,2,-64844,-1000,396,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6947,,,,,1,0,0,34700,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6949,,,,,0,0,1,-26000,0,637,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
6951,,,,,6,0,0,1000,0,-71,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6952,,,,,3,0,0,1000,0,0,2026-08-27,TWSE T86 official,official-only,,,40.0,40.0,
6955,,,,,0,0,0,0,0,-3001,2026-08-27,TWSE T86 official,official-only,,,0.0,0.0,
